29,30,27,26
4,5,22,21
3,4,7,6
6,7,24,23
6,7,3,2
18,19,5,4
30,31,9,8
30,31,20,19
4,5,24,23
7,8,30,29
0,1,3,2
9,10,3,2
10,11,7,6
6,7,11,10
23,24,30,29
19,20,22,21
30,31,28,27
6,7,25,24
10,11,28,27
31,0,24,23
8,9,0,31
8,9,17,16
17,18,1,0
28,29,18,17
2,3,1,0
24,25,27,26
7,8,27,26
22,23,2,1
20,21,30,29
29,30,19,18
7,8,28,27
30,31,17,16
31,0,7,6
21,22,19,18
12,13,28,27
7,8,0,31
16,17,26,25
5,6,20,19
31,0,3,2
19,20,23,22
18,19,21,20
0,1,5,4
12,13,24,23
28,29,10,9
17,18,4,3
26,27,21,20
14,15,3,2
16,17,5,4
8,9,18,17
17,18,5,4
1,2,0,31
22,23,0,31
21,22,4,3
19,20,24,23
16,17,8,7
6,7,28,27
7,8,24,23
0,1,30,29
23,24,16,15
6,7,15,14
24,25,19,18
13,14,22,21
4,5,30,29
31,0,5,4
4,5,12,11
28,29,15,14
9,10,2,1
0,1,20,19
25,26,18,17
29,30,16,15
6,7,1,0
0,1,23,22
2,3,19,18
24,25,9,8
24,25,2,1
2,3,28,27
13,14,3,2
13,14,20,19
30,31,8,7
1,2,21,20
27,28,21,20
19,20,29,28
24,25,22,21
14,15,1,0
2,3,26,25
2,3,14,13
23,24,7,6
13,14,1,0
4,5,20,19
26,27,29,28
1,2,11,10
15,16,25,24
19,20,2,1
26,27,12,11
17,18,31,30
6,7,19,18
28,29,11,10
5,6,9,8
28,29,0,31
4,5,31,30
6,7,9,8
10,11,27,26
24,25,10,9
3,4,21,20
20,21,11,10
11,12,10,9
26,27,24,23
30,31,15,14
24,25,23,22
6,7,20,19
13,14,21,20
15,16,3,2
20,21,7,6
9,10,30,29
28,29,19,18
23,24,9,8
25,26,31,30
28,29,31,30
1,2,7,6
27,28,2,1
16,17,15,14
3,4,16,15
15,16,27,26
31,0,15,14
16,17,24,23
22,23,14,13
2,3,18,17
11,12,22,21
29,30,1,0
28,29,13,12
1,2,16,15
28,29,3,2
13,14,26,25
14,15,9,8
14,15,25,24
22,23,3,2
24,25,18,17
0,1,21,20
16,17,10,9
8,9,22,21
21,22,7,6
31,0,6,5
5,6,14,13
27,28,0,31
16,17,9,8
12,13,31,30
18,19,11,10
22,23,6,5
10,11,18,17
12,13,15,14
8,9,7,6
7,8,5,4
21,22,29,28
7,8,19,18
21,22,3,2
16,17,20,19
18,19,16,15
25,26,9,8
4,5,29,28
25,26,7,6
25,26,3,2
19,20,31,30
8,9,5,4
28,29,12,11
21,22,11,10
12,13,26,25
30,31,10,9
25,26,24,23
9,10,21,20
21,22,6,5
12,13,0,31
4,5,7,6
7,8,15,14
12,13,29,28
30,31,24,23
1,2,9,8
11,12,16,15
3,4,31,30
3,4,15,14
18,19,15,14
0,1,8,7
7,8,11,10
12,13,10,9
2,3,29,28
5,6,26,25
14,15,30,29
5,6,11,10
0,1,19,18
13,14,16,15
31,0,16,15
25,26,10,9
10,11,0,31
19,20,7,6
12,13,30,29
20,21,8,7
17,18,9,8
27,28,18,17
4,5,0,31
8,9,15,14
19,20,4,3
12,13,7,6
16,17,28,27
13,14,19,18
6,7,23,22
23,24,6,5
1,2,29,28
29,30,14,13
7,8,31,30
26,27,23,22
25,26,19,18
27,28,4,3
7,8,18,17
23,24,20,19
0,1,6,5
26,27,0,31
12,13,11,10
26,27,20,19
19,20,17,16
29,30,12,11
4,5,14,13
26,27,4,3
27,28,3,2
24,25,8,7
17,18,22,21
8,9,26,25
12,13,17,16
24,25,6,5
24,25,16,15
20,21,25,24
0,1,31,30
16,17,0,31
2,3,0,31
7,8,6,5
2,3,17,16
1,2,8,7
15,16,4,3
16,17,2,1
28,29,23,22
7,8,26,25
22,23,20,19
24,25,30,29
0,1,14,13
14,15,22,21
5,6,12,11
29,30,11,10
12,13,8,7
3,4,25,24
18,19,29,28
31,0,18,17
19,20,10,9
19,20,1,0
21,22,12,11
25,26,5,4
26,27,30,29
17,18,8,7
4,5,26,25
11,12,18,17
13,14,30,29
18,19,23,22
9,10,8,7
18,19,17,16
20,21,0,31
23,24,0,31
28,29,1,0
15,16,21,20
2,3,21,20
16,17,22,21
1,2,13,12
0,1,17,16
2,3,6,5
1,2,31,30
14,15,12,11
8,9,4,3
13,14,7,6
27,28,31,30
15,16,28,27
6,7,10,9
26,27,16,15
10,11,4,3
27,28,14,13
12,13,22,21
1,2,6,5
19,20,0,31
21,22,0,31
10,11,31,30
3,4,8,7
3,4,9,8
18,19,9,8
23,24,28,27
6,7,22,21
30,31,11,10
8,9,2,1
10,11,24,23
17,18,0,31
13,14,5,4
17,18,26,25
13,14,10,9
17,18,12,11
22,23,13,12
27,28,26,25
